title,artist,bpm,energy,danceability,loudness,valence,acousticness,speechiness,instrumentalness
Get Ur Freak On,Missy Elliott,177.87,0.75,0.797,-9.369,0.74,0.533,0.247,0.108
Crazy,K-Ci & JoJo,116.128,0.648,0.677,-4.4,0.448,0.0987,0.0259,0.0
Fill Me In,Craig David,132.493,0.744,0.682,-6.981,0.8270000000000001,0.376,0.0365,0.00951
Someone to Call My Lover,Janet Jackson,127.885,0.914,0.738,-4.203,0.935,0.144,0.0434,0.00099
With Arms Wide Open,Creed,138.852,0.539,0.41,-8.412,0.141,0.00425,0.0302,0.00089
Case of the Ex (Whatcha Gonna Do),Mýa,98.001,0.684,0.774,-4.721,0.354,0.0687,0.0408,9.34e-05
All or Nothing,O-Town,126.872,0.453,0.641,-4.98,0.216,0.262,0.0281,0.0
Kryptonite,3 Doors Down,99.009,0.865,0.545,-5.708,0.543,0.00664,0.0286,1.1e-05
Fiesta,R. Kelly,92.836,0.487,0.92,-5.578,0.806,0.0103,0.182,0.0
When It's Over,Sugar Ray,99.945,0.775,0.675,-5.772,0.933,0.0387,0.0522,0.0
Jaded,Aerosmith,117.983,0.866,0.518,-4.476,0.671,0.00413,0.0509,1.93e-05
Promise,Jagged Edge,128.002,0.5680000000000001,0.751,-5.431,0.646,0.136,0.0872,0.0
Missing You,Case,86.31,0.579,0.612,-6.417,0.716,0.285,0.0553,0.0
Differences,Ginuwine,62.876,0.594,0.562,-4.578,0.423,0.318,0.0558,0.0
This I Promise You,NSYNC,165.975,0.587,0.55,-6.279,0.466,0.354,0.0329,0.0
Izzo (H.O.V.A.),Jay-Z,84.411,0.844,0.618,-4.051,0.6970000000000001,0.0178,0.342,0.000126
Superwoman Pt. II,Lil' Mo,95.715,0.541,0.768,-5.183,0.645,0.286,0.1,0.0
Crazy for This Girl,Evan and Jaron,93.964,0.926,0.457,-5.461,0.41,0.0004869999999999,0.038,5.69e-05
Nobody Wants to Be Lonely,Ricky Martin,100.851,0.854,0.635,-5.02,0.59,0.00579,0.0612,0.0083
I Just Wanna Love U (Give It 2 Me),Jay-Z,98.631,0.922,0.8,-5.125,0.801,0.301,0.24,9.31e-06
One Minute Man,Missy Elliott,93.839,0.669,0.622,-8.419,0.5700000000000001,0.0266,0.329,2.97e-06
Danger (Been So Long),Mystikal,97.969,0.861,0.92,-5.435,0.718,0.211,0.218,2.59e-05
Only Time,Enya,82.803,0.249,0.418,-13.744,0.213,0.841,0.0301,0.661
I Do!!,Toya,156.264,0.583,0.781,-7.83,0.91,0.0859,0.0628,0.00216
Never Had a Dream Come True,S Club 7,122.931,0.534,0.639,-5.588,0.434,0.508,0.0281,0.0
Stranger in My House,Tamia,119.94,0.601,0.676,-4.905,0.206,0.103,0.0297,0.0
Irresistible,Jessica Simpson,93.008,0.966,0.659,-2.783,0.687,0.0279,0.0538,8.25e-05
Heard It All Before,Sunshine Anderson,96.951,0.925,0.6970000000000001,-4.209,0.678,0.0614,0.216,0.0
The Space Between,Dave Matthews Band,170.032,0.73,0.406,-6.2780000000000005,0.207,0.0471,0.0315,0.0
There You'll Be,Faith Hill,129.021,0.532,0.325,-7.208,0.162,0.496,0.0308,0.0
Love,Musiq Soulchild,99.738,0.385,0.5690000000000001,-9.919,0.339,0.342,0.0499,0.0
No More (Baby I'ma Do Right),3LW,88.933,0.723,0.721,-7.08,0.761,0.102,0.0631,4.4e-06
Turn Off the Light,Nelly Furtado,180.215,0.687,0.589,-6.222,0.649,0.0778,0.097,0.000289
Play,Jennifer Lopez,104.719,0.729,0.775,-4.229,0.895,0.0303,0.162,0.00247
I'm Already There,Lonestar,133.56,0.446,0.61,-6.258,0.611,0.916,0.0655,0.0
My Baby,Lil' Romeo,97.423,0.761,0.8200000000000001,-2.714,0.584,0.0481,0.219,0.0
Beautiful Day,U2,136.279,0.926,0.539,-6.495,0.454,0.014,0.0499,0.00136
Austin,Blake Shelton,119.914,0.609,0.605,-7.063,0.275,0.188,0.0278,0.0
Southern Hospitality,Ludacris,95.158,0.896,0.623,-4.719,0.613,0.035,0.247,0.0
Grown Men Don't Cry,Tim McGraw,101.815,0.513,0.657,-8.514,0.56,0.199,0.024,0.0
Livin' It Up,Ja Rule,106.027,0.774,0.875,-4.087,0.606,0.0547,0.309,0.0
Loverboy,Mariah Carey,103.141,0.79,0.721,-4.125,0.8210000000000001,0.183,0.124,0.0
Contagious,The Isley Brothers,113.023,0.449,0.709,-7.251,0.204,0.24,0.04,0.0
Who I Am,Jessica Andrews,84.039,0.674,0.463,-5.422,0.259,0.0115,0.0319,0.0
Music,Erick Sermon,100.01,0.466,0.897,-9.053,0.884,0.187,0.203,1.35e-06
Music,Marvin Gaye,104.048,0.638,0.866,-7.779,0.8,0.253,0.0343,0.000251
I Wanna Be Bad,Willa Ford,180.019,0.8180000000000001,0.647,-3.47,0.8160000000000001,0.234,0.0647,1.89e-05
Don't Happen Twice,Kenny Chesney,158.785,0.708,0.499,-7.029,0.617,0.00626,0.0301,1.15e-05
One More Day,Diamond Rio,131.064,0.405,0.668,-7.629,0.234,0.592,0.0277,0.0
I Wish,R. Kelly,78.83,0.463,0.42,-9.056,0.659,0.068,0.12,0.0
It's a Great Day to Be Alive,Travis Tritt,140.77,0.854,0.336,-1.895,0.536,0.278,0.0443,0.0
I'm a Thug,Trick Daddy,179.69,0.674,0.613,-4.759,0.654,0.0877,0.293,0.0
You Shouldn't Kiss Me Like This,Toby Keith,168.707,0.665,0.439,-7.671,0.328,0.474,0.0351,1.56e-05
Dance with Me,Debelah Morgan,115.005,0.674,0.85,-7.981,0.74,0.309,0.0373,0.000645
"So Fresh, So Clean",Outkast,166.028,0.64,0.725,-7.905,0.915,0.0281,0.332,0.0
E.I.,Nelly,89.849,0.481,0.834,-7.824,0.406,0.0732,0.188,0.0
Be Like That,3 Doors Down,95.982,0.7020000000000001,0.487,-6.043,0.306,0.00528,0.0238,4.97e-06
Oochie Wally,Nas,93.704,0.759,0.655,-6.408,0.711,0.0546,0.321,0.0005859999999999
Oochie Wally,Bravehearts,93.253,0.424,0.586,-17.692,0.789,0.0643,0.382,0.000669
Hero,Enrique Iglesias,151.959,0.651,0.581,-5.617,0.146,0.143,0.0392,1.05e-05
Hemorrhage (In My Hands),Fuel,152.017,0.8230000000000001,0.301,-4.072,0.372,0.000144,0.0433,0.000309
How You Remind Me,Nickelback,172.094,0.764,0.446,-5.042,0.543,0.00135,0.033,0.0
Foolish,Ashanti,90.119,0.6950000000000001,0.665,-5.763,0.707,0.347,0.0532,0.0
Hot in Herre,Nelly,107.075,0.745,0.956,-4.753,0.912,0.206,0.12,0.0
Dilemma,Nelly,168.189,0.552,0.727,-8.074,0.607,0.227,0.14,0.000164
Wherever You Will Go,The Calling,112.027,0.719,0.558,-5.113,0.371,0.0367,0.0267,0.0
A Thousand Miles,Vanessa Carlton,94.931,0.8250000000000001,0.56,-3.862,0.268,0.323,0.0379,0.0
In the End,Linkin Park,105.143,0.864,0.556,-5.87,0.4,0.00958,0.0584,0.0
What's Luv?,Fat Joe,93.863,0.754,0.839,-4.165,0.866,0.0119,0.0794,4.7300000000000005e-06
U Got It Bad,Usher,124.037,0.5,0.8160000000000001,-4.551,0.649,0.0227,0.03,1.53e-06
Blurry,Puddle of Mudd,157.462,0.938,0.431,-4.507,0.523,0.00805,0.0542,0.0
Complicated,Avril Lavigne,77.987,0.776,0.585,-5.898,0.427,0.0572,0.0459,7.74e-06
Always on Time,Ja Rule,96.652,0.6990000000000001,0.8320000000000001,-6.322,0.853,0.202,0.209,0.0
Always on Time,Ashanti,99.308,0.779,0.743,-6.187,0.665,0.0975,0.054,2.85e-06
Ain't It Funny (Murder Remix),Jennifer Lopez,89.43,0.746,0.781,-2.686,0.786,0.364,0.17,0.0
The Middle,Jimmy Eat World,162.152,0.849,0.643,-5.428,0.903,0.0371,0.0526,0.0
I Need a Girl (Part One),P. Diddy,89.214,0.651,0.736,-10.347,0.927,0.425,0.0536,0.00722
U Don't Have to Call,Usher,100.005,0.5680000000000001,0.793,-4.958,0.806,0.0478,0.0459,3.57e-05
Family Affair,Mary J. Blige,92.887,0.551,0.911,-3.75,0.969,0.132,0.0449,4.12e-05
I Need a Girl (Part Two),P. Diddy,199.75,0.404,0.59,-9.308,0.792,0.328,0.423,0.0
Gangsta Lovin',Eve,94.332,0.84,0.723,-3.523,0.8270000000000001,0.0619,0.0608,0.0
My Sacrifice,Creed,146.349,0.88,0.32,-6.035,0.257,0.000101,0.0504,4.31e-06
Without Me,Eminem,112.238,0.669,0.908,-2.827,0.662,0.00286,0.0738,0.0
Hero,Enrique Iglesias,151.959,0.651,0.581,-5.617,0.146,0.143,0.0392,1.05e-05
All You Wanted,Michelle Branch,96.103,0.72,0.499,-9.101,0.652,0.00466,0.0286,0.00303
Hero,Chad Kroeger,147.387,0.843,0.427,-4.54,0.304,0.00216,0.0364,0.0
Hero,Josey Scott,147.15,0.517,0.389,-12.305,0.173,0.000621,0.0361,0.462
Wasting My Time,Default,148.11,0.776,0.449,-5.594,0.198,0.00171,0.0322,0.0
One Last Breath,Creed,126.602,0.677,0.386,-5.83,0.195,0.00841,0.0346,0.00366
"Whenever, Wherever",Shakira,107.657,0.8320000000000001,0.794,-4.862,0.871,0.237,0.0407,1.14e-05
I'm Gonna Be Alright,Jennifer Lopez,93.975,0.612,0.843,-4.71,0.791,0.0573,0.157,0.000305
Heaven,DJ Sammy,137.965,0.953,0.5710000000000001,-5.601,0.601,0.0011,0.0548,0.000606
Heaven,Yanou,137.973,0.8160000000000001,0.805,-10.058,0.891,0.0668,0.0835,0.925
Heaven,Do,148.087,0.647,0.306,-9.969,0.321,0.0768,0.0316,0.0
Hey Baby,No Doubt,93.628,0.872,0.705,-3.557,0.75,0.0618,0.126,0.0
Girlfriend,NSYNC,93.963,0.809,0.748,-5.213,0.868,0.0857,0.0904,1.48e-05
Girlfriend,Nelly,122.999,0.967,0.662,-3.751,0.357,0.0596,0.0449,0.0768
Just a Friend 2002,Mario,132.346,0.677,0.538,-6.099,0.913,0.00541,0.187,0.0
Soak Up the Sun,Sheryl Crow,119.996,0.733,0.717,-4.985,0.713,0.0398,0.0427,0.0
Nothin',N.O.R.E.,97.035,0.863,0.791,-6.118,0.742,0.317,0.151,1.13e-06
Oops (Oh My),Tweet,159.963,0.536,0.66,-8.786,0.775,0.233,0.29,0.00669
A Moment Like This,Kelly Clarkson,145.184,0.5720000000000001,0.414,-3.918,0.16,0.163,0.0311,0.0
Addictive,Truth Hurts,99.271,0.677,0.7010000000000001,-6.591,0.367,0.0737,0.147,0.0001619999999999
Happy,Ashanti,89.488,0.515,0.727,-6.553,0.6950000000000001,0.241,0.0289,3.74e-06
No Such Thing,John Mayer,131.918,0.739,0.668,-4.9190000000000005,0.5710000000000001,0.0383,0.0308,0.0
Down 4 U,Charli Baltimore,83.133,0.59,0.64,-7.442,0.519,0.252,0.32,0.0
Can't Get You Out of My Head,Kylie Minogue,128.017,0.98,0.536,-5.679,0.243,0.13,0.258,0.322
Superman (It's Not Easy),Five for Fighting,102.089,0.416,0.382,-9.303,0.125,0.0733,0.0302,0.0
Cleanin' Out My Closet,Eminem,148.015,0.758,0.908,-4.753,0.87,0.0687,0.174,0.0
Halfcrazy,Musiq Soulchild,101.955,0.77,0.412,-6.057,0.418,0.462,0.18,1.5e-06
"Lights, Camera, Action!",Mr. Cheeks,105.522,0.893,0.85,-6.496,0.811,0.027,0.185,0.0
Still Fly,Big Tymers,177.928,0.607,0.675,-3.5380000000000003,0.56,0.0302,0.162,8.97e-06
A Woman's Worth,Alicia Keys,75.09,0.41,0.652,-8.323,0.495,0.333,0.158,0.0
7 Days,Craig David,83.014,0.812,0.659,-7.499,0.888,0.23,0.0487,0.0
Work It,Missy Elliott,101.868,0.677,0.884,-5.603,0.584,0.0778,0.283,0.0
Move Bitch,Ludacris,177.868,0.764,0.777,-5.681,0.174,0.243,0.141,0.0
Can't Fight the Moonlight,LeAnn Rimes,97.865,0.834,0.628,-6.341,0.626,0.403,0.0497,0.0
Escape,Enrique Iglesias,125.994,0.852,0.777,-5.329,0.877,0.0299,0.0295,0.000498
More Than A Woman,Aaliyah,86.968,0.649,0.655,-5.6530000000000005,0.759,0.0793,0.089,0.0003929999999999
Hella Good,No Doubt,115.138,0.665,0.772,-3.947,0.838,0.0136,0.0349,0.012
I Love You,Faith Evans,168.004,0.757,0.489,-4.062,0.5670000000000001,0.00981,0.0926,0.0
Gotta Get thru This,Daniel Bedingfield,133.57,0.765,0.837,-5.007,0.912,0.0852,0.0631,7.08e-05
"Pass the Courvoisier, Part II",Busta Rhymes,89.767,0.793,0.6970000000000001,-4.699,0.56,0.0844,0.323,0.0
Lose Yourself,Eminem,171.374,0.744,0.6920000000000001,-4.565,0.0612,0.00868,0.257,0.000423
Butterflies,Michael Jackson,89.99,0.655,0.708,-2.69,0.545,0.0583,0.0883,2.1e-06
What About Us?,Brandy,185.932,0.732,0.524,-1.595,0.736,0.257,0.355,0.0
Underneath Your Clothes,Shakira,165.508,0.597,0.616,-5.328,0.362,0.6910000000000001,0.0415,0.0
Rainy Dayz,Mary J. Blige,74.884,0.663,0.476,-6.905,0.525,0.182,0.191,0.0
Differences,Ginuwine,62.876,0.594,0.562,-4.578,0.423,0.318,0.0558,0.0
If I Could Go!,Angie Martinez,195.558,0.643,0.592,-7.486,0.6990000000000001,0.169,0.354,0.0
The Whole World,Outkast,184.682,0.852,0.8140000000000001,-6.176,0.717,0.0958,0.401,1.32e-06
Underneath It All,No Doubt,138.204,0.731,0.729,-4.823,0.838,0.235,0.0682,1.35e-06
Underneath It All,Lady Saw,138.044,0.719,0.776,-8.641,0.966,0.0454,0.0373,0.48
Caramel,City High,93.036,0.66,0.801,-8.267,0.295,0.175,0.286,9.5e-06
Luv U Better,LL Cool J,95.075,0.808,0.667,-3.878,0.712,0.239,0.238,0.0
Gimme the Light,Sean Paul,107.288,0.761,0.778,-5.529,0.923,0.141,0.0525,4.6e-05
Gone,NSYNC,113.863,0.409,0.704,-8.581,0.495,0.43,0.0597,0.0
